Date,Open,High,Low,Close,chance_price,percent_change,Volume
2023-03-09,26670.02,27009.46,26379.07,26960.97,500,0.02,4815700
2023-03-08,26088.13,26573.04,25991.15,26476.06,200,0.01,2665300
2023-03-07,26379.07,26670.02,26233.6,26282.09,-100,0,2394300
2023-03-06,26185.11,26621.53,25894.16,26379.07,400,0.01,7133900
2023-03-03,26379.07,26524.55,25748.69,25991.15,-400,-0.01,4075400
2023-03-02,26718.51,26767,26185.11,26379.07,-100,0,1759900
2023-03-01,25409.26,26524.55,25263.78,26476.06,800,0.03,2204200
2023-02-28,26185.11,26379.07,25700.2,25700.2,-500,-0.02,3579100
2023-02-27,26379.07,26379.07,25797.18,26185.11,-250,-0.01,6952000
2023-02-24,27106.44,27106.44,26330.58,26427.57,-700,-0.03,4716300
2023-02-23,26670.02,27106.44,26185.11,27106.44,450,0.02,5915400
2023-02-22,27203.42,27300.4,26670.02,26670.02,-900,-0.03,19065000
2023-02-21,27736.82,28076.26,27494.37,27542.86,-200,-0.01,7120900
2023-02-20,26912.47,27736.82,26863.98,27736.82,800,0.03,5999900
2023-02-17,26912.47,26960.97,26670.02,26960.97,-100,0,2813300
2023-02-16,26767,27057.95,26379.07,27057.95,500,0.02,2332700
2023-02-15,26039.64,26767,25797.18,26573.04,550,0.02,2633000
2023-02-14,25700.2,26573.04,25700.2,26039.64,250,0.01,3279800
2023-02-13,26039.64,26088.13,25554.73,25797.18,-350,-0.01,4041200
2023-02-10,26524.55,26670.02,26088.13,26136.62,-350,-0.01,4529000
2023-02-09,26863.98,27009.46,26476.06,26476.06,-550,-0.02,3782300
2023-02-08,26670.02,27106.44,26573.04,27009.46,450,0.02,8609000
2023-02-07,27106.44,27203.42,26573.04,26573.04,-550,-0.02,6538400
2023-02-06,26282.09,27154.93,26233.6,27106.44,850,0.03,6403300
2023-02-03,27251.91,27348.89,26282.09,26282.09,-900,-0.03,7923000
2023-02-02,27348.89,27542.86,26767,27154.93,-200,-0.01,4715200
2023-02-01,28609.66,28609.66,27154.93,27348.89,-1200,-0.04,7914500
2023-01-31,27785.31,28512.68,27203.42,28512.68,700,0.02,6369400
2023-01-30,28173.24,28173.24,27688.33,27833.8,-350,-0.01,6458000
